Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
8,Germany,"Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint.",Shine,87,12.0,Rheinhessen,,,Anna Lee C. Iijima,,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),Gewürztraminer,Heinz Eifel
15,Germany,"Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal.",Devon,87,24.0,Mosel,,,Anna Lee C. Iijima,,Richard Böcking 2013 Devon Riesling (Mosel),Riesling,Richard Böcking
7,France,"This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.",,87,24.0,Alsace,Alsace,,Roger Voss,@vossroger,Trimbach 2012 Gewurztraminer (Alsace),Gewürztraminer,Trimbach
9,France,This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.,Les Natures,87,27.0,Alsace,Alsace,,Roger Voss,@vossroger,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),Pinot Gris,Jean-Baptiste Adam
0,Italy,"Aromas include tropical fruit, broom, brimstone and dried herb. The palate isn't overly expressive, offering unripened apple, citrus and dried sage alongside brisk acidity.",Vulkà Bianco,87,,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Nicosia 2013 Vulkà Bianco  (Etna),White Blend,Nicosia
6,Italy,"Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins.",Belsito,87,16.0,Sicily & Sardinia,Vittoria,,Kerin O’Keefe,@kerinokeefe,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Frappato,Terre di Giurfo
5,Spain,"Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.",Ars In Vitro,87,15.0,Northern Spain,Navarra,,Michael Schachner,@wineschach,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Tempranillo-Merlot,Tandem
18,Spain,"Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish.",Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza,87,28.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),Tempranillo Blend,Pradorey
19530,Ukraine,"On the nose, this nonvintage sparkler from the Ukraine has primary notes of yeast and freshly baked bread There are soft flavors of green apple and peach in the mouth with gentle persistent bubbles.",Brut,83,10.0,Ukraine,,,Jeff Jenssen,@worldwineguys,Marengo NV Brut Sparkling (Ukraine),Sparkling Blend,Marengo
36506,Ukraine,"Persistent bubbles lead the way to aromas of citrus blossom, green apple and yeasty bread. There are flavors of apple juice and lemon preserves in the midpalate. The finish is pleasantly sweet.",Semi-Sweet Bianco,83,10.0,Ukraine,,,Jeff Jenssen,@worldwineguys,Marengo NV Semi-Sweet Bianco Sparkling (Ukraine),Sparkling Blend,Marengo
306,Romania,"Fragrant on the nose with fresh orange, lemon and honeysuckle aromas, this full-bodied Chard is deliciously quaffable with a concentrated apple palate and just a hint of buttered toast. Another well-made Romanian at an unbeatable bargain price.",,87,7.0,Recas,,,Anna Lee C. Iijima,,Cramele Recas 2009 Chardonnay (Recas),Chardonnay,Cramele Recas
984,Romania,"An intriguing nose of tobacco, mint, cherry and spice leads this earthy red. Flavors of spice, tobacco, red berry and tea are supported by ageable tannins and good complexity.",Rosso di Valachia,85,12.0,Dealu Mare,,,Susan Kostrzewa,@suskostrzewa,Byzantium 2005 Rosso di Valachia Red (Dealu Mare),Red Blend,Byzantium
2272,Czech Republic,"Smoke and struck-flint notes add a dark tone to this savory, herb-inflected white wine. The palate is round and rich, and finishes with a reverberating hint of salt and bitter lemon rind.",,85,25.0,Moravia,,,Anna Lee C. Iijima,,Vino z Czech 2011 Welschriesling (Moravia),Welschriesling,Vino z Czech
